id,pred
0,5
1,5
2,5
3,1
4,5
5,5
6,5
7,5
8,4
9,5
10,5
11,4
12,5
13,5
14,5
15,4
16,5
17,5
18,5
19,4
20,5
21,4
22,5
23,5
24,5
25,5
26,5
27,4
28,5
29,5
30,3
31,5
32,4
33,5
34,5
35,5
36,5
37,5
38,4
39,4
40,5
41,5
42,5
43,5
44,4
45,5
46,5
47,5
48,5
49,4
50,4
51,5
52,5
53,5
54,5
55,2
56,5
57,4
58,5
59,4
60,5
61,5
62,5
63,5
64,5
65,4
66,5
67,4
68,5
69,5
70,5
71,4
72,5
73,5
74,5
75,4
76,5
77,5
78,5
79,4
80,4
81,5
82,5
83,4
84,5
85,5
86,4
87,5
88,5
89,5
90,5
91,5
92,5
93,5
94,5
95,4
96,5
97,5
98,5
99,5
100,5
101,4
102,5
103,4
104,5
105,2
106,4
107,5
108,5
109,5
110,5
111,5
112,5
113,4
114,5
115,4
116,5
117,1
118,5
119,4
120,5
121,5
122,5
123,5
124,4
125,5
126,5
127,5
128,5
129,4
130,4
131,4
132,5
133,1
134,4
135,4
136,4
137,4
138,4
139,5
140,4
141,4
142,5
143,4
144,5
145,5
146,4
147,4
148,5
149,4
150,5
151,5
152,5
153,5
154,5
155,4
156,5
157,5
158,5
159,5
160,5
161,5
162,5
163,5
164,4
165,5
166,5
167,5
168,5
169,5
170,5
171,5
172,5
173,5
174,4
175,5
176,5
177,5
178,5
179,5
180,5
181,4
182,4
183,4
184,4
185,4
186,4
187,4
188,5
189,5
190,5
191,5
192,5
193,5
194,5
195,5
196,5
197,5
198,4
199,5
200,4
201,1
202,5
203,5
204,5
205,5
206,5
207,4
208,5
209,5
210,5
211,5
212,5
213,5
214,5
215,5
216,5
217,5
218,5
219,5
220,5
221,5
222,4
223,5
224,5
225,5
226,4
227,4
228,4
229,5
230,5
231,5
232,5
233,4
234,4
235,4
236,5
237,5
238,5
239,5
240,4
241,5
242,5
243,5
244,4
245,5
246,5
247,5
248,4
249,5
250,5
251,5
252,4
253,5
254,3
255,4
256,5
257,4
258,4
259,4
260,3
261,4
262,4
263,5
264,4
265,5
266,4
267,1
268,5
269,5
270,5
271,2
272,4
273,5
274,4
275,4
276,5
277,5
278,4
279,4
280,4
281,5
282,5
283,4
284,4
285,4
286,5
287,5
288,5
289,4
290,5
291,4
292,5
293,4
294,5
295,4
296,4
297,4
298,4
299,5
300,5
301,5
302,5
303,5
304,5
305,5
306,4
307,5
308,5
309,4
310,5
311,5
312,4
313,5
314,4
315,5
316,4
317,5
318,4
319,4
320,5
321,5
322,4
323,5
324,5
325,5
326,5
327,4
328,4
329,5
330,5
331,5
332,5
333,5
334,4
335,4
336,4
337,4
338,4
339,4
340,4
341,4
342,5
343,5
344,5
345,5
346,5
347,4
348,4
349,5
350,5
351,4
352,4
353,4
354,5
355,1
356,5
357,4
358,4
359,5
360,4
361,4
362,4
363,4
364,5
365,4
366,5
367,5
368,5
369,5
370,5
371,5
372,5
373,5
374,5
375,5
376,5
377,5
378,5
379,1
380,4
381,5
382,5
383,5
384,5
385,5
386,5
387,5
388,5
389,4
390,5
391,5
392,4
393,5
394,5
395,5
396,4
397,4
398,5
399,5
